,generated_caption
1956,a blender with various ingredients
1957,colorful gems
1958,a woman in a red dress and red shoes standing in front of a television set
1959,a skateboarder doing a trick
1960,a bull wearing a red banda
1961,a pile of screws
1962,a pirate with a parrot
1963,a person using a drill tool
1964,many different types of screws
1965,a woman making a pie
1966,a lion and a group of zebras
1967,a couple walking down a street in the city
1968,a little girl in a field of flowers
1969,a blue and yellow kitchen kettle and a yellow kettle
1970,a dragon flying over a city
1971,an escala in a train station
1972,two young girls riding a tricycle
1973,a statue of a female holding a ball
1974,a skateboarder doing a trick
1975,a garden with a shovel and a garden bed
1976,a beautiful woman holding a blue and yellow parrot
1977,a ship
1978,a lab
1979,ghostbuster sticker
1980,a gothic girl sitting on a rooftop in paris
1981,the escala shopping centre in the city of london
1982,a lab room with a computer and a monitor
1983,yellow and blue kitchen appliances
1984,a group of men playing cards in a pub
1985,a vintage style illustration of a pile of junk items
1986,a bottle of hove
1987,a parade in the parade
1988,money
1989,a man with a camera on a beach
1990,a man sitting in the back of a truck
1991,a long horned bull
1992,a whale sculpture in the university of chicago
1993,a kitchen with a large island
1994,a woman sitting in a living room with a television and a plant
1995,a glass of whiskey
1996,gargor gargor gargor gargor gargor ga
1997,a church with a clock tower
1998,a father and daughter riding a sc sc sc sc sc sc sc sc sc sc
1999,a stack of metal bars
