,generated_caption,cap,verbs,objs,n_objs
906,A yak musician blows a trumpet from a snowy mountaintop.,A yak musician blows a trumpet from a snowy mountaintop.,{'blow'},{'blow'},1
907,A curious griffin sniffs at a treasure chest buried in sand.,A curious griffin sniffs at a treasure chest buried in sand.,"{'bury', 'sniff'}","{'bury', 'sniff'}",2
908,An owl curator catalogs enchanted gemstones in a museum.,An owl curator catalogs enchanted gemstones in a museum.,{'catalog'},{'catalog'},1
909,A starry-eyed hedgehog designs constellations with glow worms.,A starry-eyed hedgehog designs constellations with glow worms.,{'design'},{'design'},1
910,A cactus guard stands sentry over a desert oasis.,A cactus guard stands sentry over a desert oasis.,{'stand'},{'stand'},1
911,A lobster architect drafts blueprints for an underwater city.,A lobster architect drafts blueprints for an underwater city.,{'draft'},{'draft'},1
912,A giraffe pilot adjusts her scarf before taking flight.,A giraffe pilot adjusts her scarf before taking flight.,"{'adjust', 'take'}","{'adjust', 'take'}",2
913,A duck detective flips through clues with a magnifying glass.,A duck detective flips through clues with a magnifying glass.,{'flip'},{'flip'},1
914,"An elk ranger patrols the mountains, scanning for lost travelers.","An elk ranger patrols the mountains, scanning for lost travelers.","{'patrol', 'scan'}","{'patrol', 'scan'}",2
915,A beaver artisan carves a canoe from a log while whistling.,A beaver artisan carves a canoe from a log while whistling.,"{'whistle', 'carve'}","{'whistle', 'carve'}",2
916,A raccoon astronomer peers through a telescope atop a pine tree.,A raccoon astronomer peers through a telescope atop a pine tree.,{'peer'},{'peer'},1
917,An owl sculptor chisels busts from frozen pumpkins.,An owl sculptor chisels busts from frozen pumpkins.,{'bust'},{'bust'},1
918,A rabbit king reigns over a sunflower field with a gentle paw.,A rabbit king reigns over a sunflower field with a gentle paw.,{'reign'},{'reign'},1
919,A penguin lifeguard watches the icebergs for approaching sharks.,A penguin lifeguard watches the icebergs for approaching sharks.,"{'approach', 'watch'}","{'approach', 'watch'}",2
920,A jellyfish artist drifts as she paints constellations in water.,A jellyfish artist drifts as she paints constellations in water.,"{'drift', 'paint'}","{'drift', 'paint'}",2
921,A squirrel tailor designs capes from autumn leaves for foxes.,A squirrel tailor designs capes from autumn leaves for foxes.,{'design'},{'design'},1
922,A bear wizard summons protective fog from an ancient spellbook.,A bear wizard summons protective fog from an ancient spellbook.,{'summon'},{'summon'},1
923,An armadillo gardener plants cacti to create living sculptures.,An armadillo gardener plants cacti to create living sculptures.,"{'plant', 'create', 'live'}","{'plant', 'create', 'live'}",3
924,A turtle professor lectures on geology from his sandstone desk.,A turtle professor lectures on geology from his sandstone desk.,{'lecture'},{'lecture'},1
925,A fox puppeteer performs plays with marionettes in the forest.,A fox puppeteer performs plays with marionettes in the forest.,{'perform'},{'perform'},1
926,A dolphin detective finds clues hidden among coral reefs.,A dolphin detective finds clues hidden among coral reefs.,"{'find', 'hide'}","{'find', 'hide'}",2
927,A dragon baker sculpts dough into whimsical creatures.,A dragon baker sculpts dough into whimsical creatures.,{'sculpt'},{'sculpt'},1
928,A hedgehog ranger scouts for acorns in a foggy valley.,A hedgehog ranger scouts for acorns in a foggy valley.,{'scout'},{'scout'},1
929,An octopus artist blends colors while painting seascapes.,An octopus artist blends colors while painting seascapes.,"{'blend', 'paint'}","{'blend', 'paint'}",2
930,A mechanical crab welds clock gears into intricate ornaments.,A mechanical crab welds clock gears into intricate ornaments.,{'weld'},{'weld'},1
931,A narwhal navigator maps his route using the North Star.,A narwhal navigator maps his route using the North Star.,"{'map', 'use'}","{'map', 'use'}",2
932,An owl knight guards the forest library from enchanted thieves.,An owl knight guards the forest library from enchanted thieves.,{'guard'},{'guard'},1
933,A mole craftsman builds tunnels deep beneath the moss.,A mole craftsman builds tunnels deep beneath the moss.,{'build'},{'build'},1
934,A peacock scholar reads tomes by candlelight on a quiet island.,A peacock scholar reads tomes by candlelight on a quiet island.,{'read'},{'read'},1
935,A dragon engineer sketches blueprints for a flying fortress.,A dragon engineer sketches blueprints for a flying fortress.,"{'fly', 'sketch'}","{'fly', 'sketch'}",2
936,An enchanted frog prince attempts to unlock a magical gate.,An enchanted frog prince attempts to unlock a magical gate.,"{'attempt', 'unlock'}","{'attempt', 'unlock'}",2
937,A rabbit gardener tends to an enchanted carrot patch at dawn.,A rabbit gardener tends to an enchanted carrot patch at dawn.,{'tend'},{'tend'},1
938,A parrot sailor perches atop the mast of his seashell boat.,A parrot sailor perches atop the mast of his seashell boat.,{'perch'},{'perch'},1
939,A robot inventor assembles talking trinkets in his workshop.,A robot inventor assembles talking trinkets in his workshop.,"{'assemble', 'talk'}","{'assemble', 'talk'}",2
940,A moth philosopher ponders the nature of light atop a lantern.,A moth philosopher ponders the nature of light atop a lantern.,{'ponder'},{'ponder'},1
941,A goblin scientist conducts experiments on glowing mushrooms.,A goblin scientist conducts experiments on glowing mushrooms.,"{'conduct', 'glow'}","{'conduct', 'glow'}",2
942,A crab musician taps out rhythms on seashells by the shore.,A crab musician taps out rhythms on seashells by the shore.,{'tap'},{'tap'},1
943,A fox trickster spins riddles for her friends around a fire.,A fox trickster spins riddles for her friends around a fire.,{'spin'},{'spin'},1
944,An elk bard sings ancient songs passed down from her ancestors.,An elk bard sings ancient songs passed down from her ancestors.,"{'sing', 'pass'}","{'sing', 'pass'}",2
945,A beetle detective sniffs out secrets hidden in tree bark.,A beetle detective sniffs out secrets hidden in tree bark.,"{'sniff', 'hide'}","{'sniff', 'hide'}",2
946,A griffin weaver threads golden silk into flying carpets.,A griffin weaver threads golden silk into flying carpets.,{'thread'},{'thread'},1
947,An armadillo historian records tales of his adventurous journeys.,An armadillo historian records tales of his adventurous journeys.,{'record'},{'record'},1
948,A raccoon alchemist mixes potions with glowing pebbles.,A raccoon alchemist mixes potions with glowing pebbles.,"{'glow', 'mix'}","{'glow', 'mix'}",2
949,A turtle astronomer draws lunar maps for the owl librarians.,A turtle astronomer draws lunar maps for the owl librarians.,{'draw'},{'draw'},1
950,A starfish artist sculpts coral statues along the shore.,A starfish artist sculpts coral statues along the shore.,{'sculpt'},{'sculpt'},1
951,A dragon explorer scales cliffs in search of ancient scrolls.,A dragon explorer scales cliffs in search of ancient scrolls.,{'scale'},{'scale'},1
952,A robot gardener waters mechanical sunflowers in his greenhouse.,A robot gardener waters mechanical sunflowers in his greenhouse.,{'water'},{'water'},1
953,A narwhal philosopher questions the currents with his fellow whales.,A narwhal philosopher questions the currents with his fellow whales.,{'question'},{'question'},1
954,A snail gardener plants mushrooms in spirals across a meadow.,A snail gardener plants mushrooms in spirals across a meadow.,{'plant'},{'plant'},1
955,A bear warrior polishes her armor before embarking on a quest.,A bear warrior polishes her armor before embarking on a quest.,"{'embark', 'polish'}","{'embark', 'polish'}",2
956,A crow storyteller weaves tales for his woodland audience.,A crow storyteller weaves tales for his woodland audience.,{'weave'},{'weave'},1
957,A talking umbrella defends a lost kitten from the rain.,A talking umbrella defends a lost kitten from the rain.,"{'talk', 'defend'}","{'talk', 'defend'}",2
958,A raccoon sommelier swirls acorn wine with practiced precision.,A raccoon sommelier swirls acorn wine with practiced precision.,"{'swirl', 'practice'}","{'swirl', 'practice'}",2
959,A phoenix watches the sunrise from atop an ancient pyramid.,A phoenix watches the sunrise from atop an ancient pyramid.,{'watch'},{'watch'},1
960,A moth bartender pours nectar cocktails in a hidden garden.,A moth bartender pours nectar cocktails in a hidden garden.,"{'hide', 'pour'}","{'pour', 'hide'}",2
961,A dragon detective deciphers runes on the walls of a cave.,A dragon detective deciphers runes on the walls of a cave.,{'decipher'},{'decipher'},1
962,A starfish biologist studies star formations in tidal pools.,A starfish biologist studies star formations in tidal pools.,{'study'},{'study'},1
963,An owl archaeologist dusts artifacts from ancient treetops.,An owl archaeologist dusts artifacts from ancient treetops.,{'dust'},{'dust'},1
964,A fox warrior sharpens her sword while perched on a stone.,A fox warrior sharpens her sword while perched on a stone.,"{'sharpen', 'perch'}","{'sharpen', 'perch'}",2
965,A squirrel tailor repairs cloaks for a band of forest adventurers.,A squirrel tailor repairs cloaks for a band of forest adventurers.,{'repair'},{'repair'},1
966,A raven pirate inspects treasure with his sharp gaze.,A raven pirate inspects treasure with his sharp gaze.,{'inspect'},{'inspect'},1
967,A mechanical beetle polishes gears to keep his clock running.,A mechanical beetle polishes gears to keep his clock running.,"{'keep', 'polish', 'run'}","{'keep', 'polish', 'run'}",3
968,A mole biologist measures soil acidity in a flower meadow.,A mole biologist measures soil acidity in a flower meadow.,{'measure'},{'measure'},1
969,An armadillo baker prepares fruit pies for a riverside festival.,An armadillo baker prepares fruit pies for a riverside festival.,{'prepare'},{'prepare'},1
970,A dragon puppeteer controls wooden figurines with fiery strings.,A dragon puppeteer controls wooden figurines with fiery strings.,{'control'},{'control'},1
971,A rabbit knight carries a silver carrot into the field of honor.,A rabbit knight carries a silver carrot into the field of honor.,{'carry'},{'carry'},1
972,A clockwork owl sweeps up glitter from the forest floor.,A clockwork owl sweeps up glitter from the forest floor.,{'sweep'},{'sweep'},1
973,"The cat perches on the windowsill, eyeing the street below.","The cat perches on the windowsill, eyeing the street below.","{'eye', 'perch'}","{'eye', 'perch'}",2
974,A knight plunges his sword into the dragon's lair.,A knight plunges his sword into the dragon's lair.,{'plunge'},{'plunge'},1
975,Fireflies flicker around the moonlit meadow.,Fireflies flicker around the moonlit meadow.,{'flicker'},{'flicker'},1
976,The diver glides past coral reefs.,The diver glides past coral reefs.,{'glide'},{'glide'},1
977,A leaf swirls in the autumn breeze.,A leaf swirls in the autumn breeze.,{'swirl'},{'swirl'},1
978,Waves lap gently against the shore.,Waves lap gently against the shore.,{'lap'},{'lap'},1
979,Bees hover around blooming lavender.,Bees hover around blooming lavender.,"{'bloom', 'hover'}","{'bloom', 'hover'}",2
980,A squirrel scampers up the oak tree.,A squirrel scampers up the oak tree.,{'scamper'},{'scamper'},1
981,Stars twinkle in the night sky above the desert.,Stars twinkle in the night sky above the desert.,{'twinkle'},{'twinkle'},1
982,The clock's hands creep towards midnight.,The clock's hands creep towards midnight.,{'creep'},{'creep'},1
983,An astronaut floats in the vastness of space.,An astronaut floats in the vastness of space.,{'float'},{'float'},1
984,A child clutches a bright balloon at the fair.,A child clutches a bright balloon at the fair.,{'clutch'},{'clutch'},1
985,The artist dabs vibrant paint onto the canvas.,The artist dabs vibrant paint onto the canvas.,{'dab'},{'dab'},1
986,Shadows stretch across the field as the sun sets.,Shadows stretch across the field as the sun sets.,"{'stretch', 'set'}","{'stretch', 'set'}",2
987,Ducks paddle serenely in the pond.,Ducks paddle serenely in the pond.,{'paddle'},{'paddle'},1
988,The librarian organizes the ancient scrolls meticulously.,The librarian organizes the ancient scrolls meticulously.,{'organize'},{'organize'},1
989,Rain patters softly on the roof.,Rain patters softly on the roof.,{'patter'},{'patter'},1
990,The blacksmith hammers molten metal on the anvil.,The blacksmith hammers molten metal on the anvil.,{'hammer'},{'hammer'},1
991,An owl glides silently through the forest.,An owl glides silently through the forest.,{'glide'},{'glide'},1
992,Bubbles burst in the gentle current of the stream.,Bubbles burst in the gentle current of the stream.,{'burst'},{'burst'},1
993,The baker kneads dough expertly in the kitchen.,The baker kneads dough expertly in the kitchen.,{'knead'},{'knead'},1
994,Soldiers march in synchronized unison across the courtyard.,Soldiers march in synchronized unison across the courtyard.,{'march'},{'march'},1
995,Fire crackles warmly in the stone hearth.,Fire crackles warmly in the stone hearth.,{'crackle'},{'crackle'},1
996,Eagles swoop down to catch their prey in the canyon.,Eagles swoop down to catch their prey in the canyon.,"{'swoop', 'catch'}","{'swoop', 'catch'}",2
997,A kite soars high against the azure sky.,A kite soars high against the azure sky.,{'soar'},{'soar'},1
998,The spider weaves an intricate web between the trees.,The spider weaves an intricate web between the trees.,{'weave'},{'weave'},1
999,Clouds drift lazily across the mountain peaks.,Clouds drift lazily across the mountain peaks.,{'drift'},{'drift'},1
1000,"Tides recede slowly, revealing the tide pools.","Tides recede slowly, revealing the tide pools.","{'recede', 'reveal'}","{'recede', 'reveal'}",2
1001,The composer conducts a symphony with passion and precision.,The composer conducts a symphony with passion and precision.,{'conduct'},{'conduct'},1
1002,A butterfly flutters between flowers in the garden.,A butterfly flutters between flowers in the garden.,{'flutter'},{'flutter'},1
1003,The farmer tends to the crops at sunrise.,The farmer tends to the crops at sunrise.,{'tend'},{'tend'},1
1004,Vultures circle ominously over the savannah.,Vultures circle ominously over the savannah.,{'circle'},{'circle'},1
1005,Cranes lift steel beams to the top of the skyscraper.,Cranes lift steel beams to the top of the skyscraper.,{'lift'},{'lift'},1
1006,Snowflakes settle softly on the pine trees.,Snowflakes settle softly on the pine trees.,{'settle'},{'settle'},1
1007,"A snake slithers through the tall grass, unseen.","A snake slithers through the tall grass, unseen.",{'slither'},{'slither'},1
1008,The jeweler polishes the diamond to perfection.,The jeweler polishes the diamond to perfection.,{'polish'},{'polish'},1
1009,Ships anchor in the bustling harbor at dawn.,Ships anchor in the bustling harbor at dawn.,"{'bustle', 'anchor'}","{'bustle', 'anchor'}",2
1010,A lynx prowls silently in the dense forest.,A lynx prowls silently in the dense forest.,{'prowl'},{'prowl'},1
1011,The conductor guides the orchestra through the concerto.,The conductor guides the orchestra through the concerto.,{'guide'},{'guide'},1
1012,Dolphins leap playfully out of the ocean waves.,Dolphins leap playfully out of the ocean waves.,{'leap'},{'leap'},1
1013,An archer draws his bowstring taut in the arena.,An archer draws his bowstring taut in the arena.,{'draw'},{'draw'},1
1014,Wolves howl mournfully in the moonlit valley.,Wolves howl mournfully in the moonlit valley.,{'howl'},{'howl'},1
1015,The lioness stalks a herd of antelope from the savannah grass.,The lioness stalks a herd of antelope from the savannah grass.,{'stalk'},{'stalk'},1
1016,Clouds gather ominously before the storm.,Clouds gather ominously before the storm.,{'gather'},{'gather'},1
1017,The falcon dives sharply to capture its quarry in the canyon.,The falcon dives sharply to capture its quarry in the canyon.,"{'capture', 'dive'}","{'capture', 'dive'}",2
1018,A volcano erupts with fiery lava on the horizon.,A volcano erupts with fiery lava on the horizon.,{'erupt'},{'erupt'},1
1019,Penguins waddle together across the icy landscape.,Penguins waddle together across the icy landscape.,{'waddle'},{'waddle'},1
1020,A fisherman casts his line into the tranquil river.,A fisherman casts his line into the tranquil river.,{'cast'},{'cast'},1
1021,Whales breach majestically through the ocean surface.,Whales breach majestically through the ocean surface.,{'breach'},{'breach'},1
1022,The gardener trims hedges into whimsical shapes.,The gardener trims hedges into whimsical shapes.,{'trim'},{'trim'},1
1023,Raccoons forage through the campsite trash bins.,Raccoons forage through the campsite trash bins.,{'forage'},{'forage'},1
1024,A snowboarder carves down the mountain slope.,A snowboarder carves down the mountain slope.,{'carve'},{'carve'},1
1025,Butterflies alight briefly on colorful blossoms.,Butterflies alight briefly on colorful blossoms.,{'alight'},{'alight'},1
1026,Ice fractures noisily as the glacier shifts.,Ice fractures noisily as the glacier shifts.,"{'shift', 'fracture'}","{'shift', 'fracture'}",2
1027,"The sun rises, painting the sky in hues of orange and pink.","The sun rises, painting the sky in hues of orange and pink.","{'paint', 'rise'}","{'paint', 'rise'}",2
1028,Foxes burrow into the soft earth of the meadow.,Foxes burrow into the soft earth of the meadow.,{'burrow'},{'burrow'},1
1029,The violinist plucks the strings gently.,The violinist plucks the strings gently.,{'pluck'},{'pluck'},1
1030,Meteors streak brightly across the night sky.,Meteors streak brightly across the night sky.,{'streak'},{'streak'},1
1031,Fireflies glow intermittently in the evening air.,Fireflies glow intermittently in the evening air.,{'glow'},{'glow'},1
1032,A skier races downhill through fresh powder.,A skier races downhill through fresh powder.,{'race'},{'race'},1
1033,The poet pens thoughtful words in the dimly lit room.,The poet pens thoughtful words in the dimly lit room.,"{'light', 'pen'}","{'light', 'pen'}",2
1034,Jellyfish bob rhythmically in the deep ocean.,Jellyfish bob rhythmically in the deep ocean.,{'bob'},{'bob'},1
1035,The pilot maneuvers the plane through dense fog.,The pilot maneuvers the plane through dense fog.,{'maneuver'},{'maneuver'},1
1036,Crickets chirp softly in the twilight.,Crickets chirp softly in the twilight.,{'chirp'},{'chirp'},1
1037,A hawk wheels gracefully above the desert plateau.,A hawk wheels gracefully above the desert plateau.,{'wheel'},{'wheel'},1
1038,The mountaineer scales the towering peak with determination.,The mountaineer scales the towering peak with determination.,"{'tower', 'scale'}","{'tower', 'scale'}",2
1039,Ants ferry food back to their underground nest.,Ants ferry food back to their underground nest.,{'ferry'},{'ferry'},1
1040,The windmill spins steadily in the morning breeze.,The windmill spins steadily in the morning breeze.,{'spin'},{'spin'},1
1041,A lion roars triumphantly across the savannah.,A lion roars triumphantly across the savannah.,{'roar'},{'roar'},1
1042,The miner extracts gold from the rugged mountainside.,The miner extracts gold from the rugged mountainside.,{'extract'},{'extract'},1
1043,A candle flickers gently on the wooden table.,A candle flickers gently on the wooden table.,{'flicker'},{'flicker'},1
1044,Horses gallop freely across the sunlit meadow.,Horses gallop freely across the sunlit meadow.,{'gallop'},{'gallop'},1
1045,An explorer charts a course through the jungle.,An explorer charts a course through the jungle.,{'chart'},{'chart'},1
1046,Hummingbirds sip nectar from the vibrant blossoms.,Hummingbirds sip nectar from the vibrant blossoms.,{'sip'},{'sip'},1
1047,The firefighter douses the flames with powerful jets of water.,The firefighter douses the flames with powerful jets of water.,{'douse'},{'douse'},1
1048,Geese migrate in a V-formation overhead.,Geese migrate in a V-formation overhead.,{'migrate'},{'migrate'},1
1049,A telescope captures distant galaxies through the lens.,A telescope captures distant galaxies through the lens.,{'capture'},{'capture'},1
1050,Clocks tick rhythmically in the old clockmaker's shop.,Clocks tick rhythmically in the old clockmaker's shop.,{'tick'},{'tick'},1
1051,Whirlpools swirl ominously in the deep sea.,Whirlpools swirl ominously in the deep sea.,{'swirl'},{'swirl'},1
1052,Frogs croak along the pond's edge at dusk.,Frogs croak along the pond's edge at dusk.,{'croak'},{'croak'},1
1053,The climber grapples with the craggy rock face.,The climber grapples with the craggy rock face.,{'grapple'},{'grapple'},1
1054,Orchids blossom vibrantly in the greenhouse.,Orchids blossom vibrantly in the greenhouse.,{'blossom'},{'blossom'},1
1055,Pelicans swoop low over the fishing boats.,Pelicans swoop low over the fishing boats.,{'swoop'},{'swoop'},1
1056,A raft floats gently downstream.,A raft floats gently downstream.,{'float'},{'float'},1
1057,Musicians rehearse their intricate melodies together.,Musicians rehearse their intricate melodies together.,{'rehearse'},{'rehearse'},1
1058,The architect sketches detailed plans for the new city hall.,The architect sketches detailed plans for the new city hall.,{'sketch'},{'sketch'},1
1059,Waterfalls cascade powerfully down the mountain slopes.,Waterfalls cascade powerfully down the mountain slopes.,{'cascade'},{'cascade'},1
1060,The lighthouse beams its guiding light through the mist.,The lighthouse beams its guiding light through the mist.,"{'guide', 'beam'}","{'guide', 'beam'}",2
1061,Birds nestle in the tree branches before dawn.,Birds nestle in the tree branches before dawn.,{'nestle'},{'nestle'},1
1062,The surgeon sutures the incision carefully.,The surgeon sutures the incision carefully.,{'suture'},{'suture'},1
1063,Planes taxi along the runway at the busy airport.,Planes taxi along the runway at the busy airport.,{'taxi'},{'taxi'},1
1064,The calligrapher inks an elegant manuscript by candlelight.,The calligrapher inks an elegant manuscript by candlelight.,set(),set(),0
1065,Wind whistles through the canyon cliffs.,Wind whistles through the canyon cliffs.,{'whistle'},{'whistle'},1
1066,Wolves chase elk through the snow-covered forest.,Wolves chase elk through the snow-covered forest.,"{'chase', 'cover'}","{'chase', 'cover'}",2
1067,"An octopus jets away, leaving a cloud of ink behind.","An octopus jets away, leaving a cloud of ink behind.","{'leave', 'jet'}","{'leave', 'jet'}",2
1068,Fencers parry and thrust with their rapiers in the arena.,Fencers parry and thrust with their rapiers in the arena.,"{'thrust', 'parry'}","{'thrust', 'parry'}",2
1069,The beekeeper smokes out the hive gently.,The beekeeper smokes out the hive gently.,{'smoke'},{'smoke'},1
1070,Shadows slink across the cobblestone street in twilight.,Shadows slink across the cobblestone street in twilight.,{'slink'},{'slink'},1
1071,The owl swoops through the dusky forest.,The owl swoops through the dusky forest.,{'swoop'},{'swoop'},1
1072,Coyotes scour the desert floor for signs of movement.,Coyotes scour the desert floor for signs of movement.,{'scour'},{'scour'},1
1073,The pianist composes a new melody in solitude.,The pianist composes a new melody in solitude.,{'compose'},{'compose'},1
1074,Parrots chirp loudly in the rainforest canopy.,Parrots chirp loudly in the rainforest canopy.,{'chirp'},{'chirp'},1
1075,The hermit crab shuffles quickly into its new shell.,The hermit crab shuffles quickly into its new shell.,{'shuffle'},{'shuffle'},1
1076,Seagulls squawk as they swoop down onto the fishing boats.,Seagulls squawk as they swoop down onto the fishing boats.,"{'swoop', 'squawk'}","{'swoop', 'squawk'}",2
1077,The tailor stitches the hems with delicate care.,The tailor stitches the hems with delicate care.,{'stitch'},{'stitch'},1
1078,Cranes tower over the city as they hoist girders into place.,Cranes tower over the city as they hoist girders into place.,"{'tower', 'hoist'}","{'tower', 'hoist'}",2
1079,Lanterns bob gently in the festival breeze.,Lanterns bob gently in the festival breeze.,{'bob'},{'bob'},1
1080,The heron strides slowly through the shallow water.,The heron strides slowly through the shallow water.,{'stride'},{'stride'},1
1081,The lion pounces from the rocks onto the grazing antelope.,The lion pounces from the rocks onto the grazing antelope.,"{'pounce', 'graze'}","{'pounce', 'graze'}",2
1082,The mechanic tightens the engine bolts under the hood.,The mechanic tightens the engine bolts under the hood.,{'tighten'},{'tighten'},1
1083,Pigeons coo softly on the city rooftops.,Pigeons coo softly on the city rooftops.,{'coo'},{'coo'},1
1084,The painter rolls a coat of vibrant blue onto the mural wall.,The painter rolls a coat of vibrant blue onto the mural wall.,{'roll'},{'roll'},1
1085,Tadpoles swim eagerly around the pond reeds.,Tadpoles swim eagerly around the pond reeds.,{'swim'},{'swim'},1
1086,A falconer releases his bird into the morning sky.,A falconer releases his bird into the morning sky.,{'release'},{'release'},1
1087,Sand whips through the desert valley in the storm.,Sand whips through the desert valley in the storm.,{'whip'},{'whip'},1
1088,The shepherd herds his flock up the rocky hills.,The shepherd herds his flock up the rocky hills.,{'herd'},{'herd'},1
1089,Elephants trudge through the savannah on their daily route.,Elephants trudge through the savannah on their daily route.,{'trudge'},{'trudge'},1
1090,The dancer pirouettes gracefully across the polished floor.,The dancer pirouettes gracefully across the polished floor.,{'pirouette'},{'pirouette'},1
1091,Dolphins chatter cheerfully near the coral reef.,Dolphins chatter cheerfully near the coral reef.,{'chatter'},{'chatter'},1
1092,A blackbird dives nimbly through the cherry blossoms.,A blackbird dives nimbly through the cherry blossoms.,{'dive'},{'dive'},1
1093,The falcon perches on the weathered fencepost.,The falcon perches on the weathered fencepost.,{'perch'},{'perch'},1
1094,Whiskers twitch as the rabbit sniffs the dewy grass.,Whiskers twitch as the rabbit sniffs the dewy grass.,"{'sniff', 'twitch'}","{'sniff', 'twitch'}",2
1095,Turtles sunbathe on the rocky riverbank.,Turtles sunbathe on the rocky riverbank.,{'sunbathe'},{'sunbathe'},1
1096,The chef slices fresh vegetables with swift precision.,The chef slices fresh vegetables with swift precision.,{'slice'},{'slice'},1
1097,The puppy chases its tail playfully in circles.,The puppy chases its tail playfully in circles.,{'chase'},{'chase'},1
1098,The meerkats survey their surroundings from atop the mound.,The meerkats survey their surroundings from atop the mound.,{'survey'},{'survey'},1
1099,Fog creeps across the forest floor in the early dawn.,Fog creeps across the forest floor in the early dawn.,{'creep'},{'creep'},1
1100,The sculptor chisels away at the marble block.,The sculptor chisels away at the marble block.,{'chisel'},{'chisel'},1
1101,Orcas hunt in pods through the icy northern waters.,Orcas hunt in pods through the icy northern waters.,{'hunt'},{'hunt'},1
1102,The florist arranges delicate bouquets for the wedding.,The florist arranges delicate bouquets for the wedding.,{'arrange'},{'arrange'},1
1103,A fox emerges from its den at twilight.,A fox emerges from its den at twilight.,{'emerge'},{'emerge'},1
1104,Peacocks strut proudly with their colorful plumage.,Peacocks strut proudly with their colorful plumage.,{'strut'},{'strut'},1
1105,The glassblower molds molten glass into delicate shapes.,The glassblower molds molten glass into delicate shapes.,{'mold'},{'mold'},1
1106,Cranes pick fish out of the water with surgical precision.,Cranes pick fish out of the water with surgical precision.,{'pick'},{'pick'},1
1107,The archaeologist brushes sand off the ancient artifact.,The archaeologist brushes sand off the ancient artifact.,{'brush'},{'brush'},1
1108,The falconer retrieves his bird from the rocky outcrop.,The falconer retrieves his bird from the rocky outcrop.,{'retrieve'},{'retrieve'},1
1109,"A storm brews on the horizon, casting dark shadows.","A storm brews on the horizon, casting dark shadows.","{'brew', 'cast'}","{'brew', 'cast'}",2
1110,The platypus nuzzles through the riverbank mud.,The platypus nuzzles through the riverbank mud.,{'nuzzle'},{'nuzzle'},1
1111,The priest blesses the crowd gathered at the cathedral.,The priest blesses the crowd gathered at the cathedral.,"{'bless', 'gather'}","{'bless', 'gather'}",2
1112,The kite dances joyfully in the wind above the meadow.,The kite dances joyfully in the wind above the meadow.,{'dance'},{'dance'},1
1113,The tailor measures fabric for the bespoke suit.,The tailor measures fabric for the bespoke suit.,{'measure'},{'measure'},1
1114,Kittens frolic in the sunlit meadow.,Kittens frolic in the sunlit meadow.,{'frolic'},{'frolic'},1
1115,The botanist catalogs the various species found in the jungle.,The botanist catalogs the various species found in the jungle.,"{'catalog', 'find'}","{'catalog', 'find'}",2
1116,A crocodile lurks below the murky swamp surface.,A crocodile lurks below the murky swamp surface.,{'lurk'},{'lurk'},1
1117,The photographer focuses on the delicate butterfly perched nearby.,The photographer focuses on the delicate butterfly perched nearby.,"{'focus', 'perch'}","{'focus', 'perch'}",2
1118,The mill grinds grain into fine flour.,The mill grinds grain into fine flour.,{'grind'},{'grind'},1
1119,Ducks preen themselves on the tranquil lake shore.,Ducks preen themselves on the tranquil lake shore.,{'preen'},{'preen'},1
1120,The whale plunges into the ocean depths.,The whale plunges into the ocean depths.,{'plunge'},{'plunge'},1
1121,The mason mortars stones into the new wall.,The mason mortars stones into the new wall.,set(),set(),0
1122,The falcon snatches its prey with swift precision.,The falcon snatches its prey with swift precision.,{'snatch'},{'snatch'},1
1123,Antelopes scatter across the plain as lions advance.,Antelopes scatter across the plain as lions advance.,"{'scatter', 'advance'}","{'scatter', 'advance'}",2
1124,Clouds part to reveal the sun breaking over the horizon.,Clouds part to reveal the sun breaking over the horizon.,"{'part', 'break', 'reveal'}","{'part', 'break', 'reveal'}",3
1125,The gardener waters the seedlings in neat rows.,The gardener waters the seedlings in neat rows.,{'water'},{'water'},1
1126,Dolphins surface briefly to spray a plume of mist.,Dolphins surface briefly to spray a plume of mist.,"{'spray', 'surface'}","{'spray', 'surface'}",2
1127,The sailor charts a course through treacherous waters.,The sailor charts a course through treacherous waters.,{'chart'},{'chart'},1
1128,Gulls dive for fish in the shimmering ocean.,Gulls dive for fish in the shimmering ocean.,"{'shimmer', 'dive'}","{'shimmer', 'dive'}",2
1129,The wanderer treks through dense forest paths.,The wanderer treks through dense forest paths.,{'trek'},{'trek'},1
1130,Robins build their nests high up in the pine trees.,Robins build their nests high up in the pine trees.,{'build'},{'build'},1
1131,The hunter tracks the deer through the misty forest.,The hunter tracks the deer through the misty forest.,{'track'},{'track'},1
1132,The magician shuffles his deck of colorful cards.,The magician shuffles his deck of colorful cards.,{'shuffle'},{'shuffle'},1
1133,The beekeeper extracts honey from the buzzing hive.,The beekeeper extracts honey from the buzzing hive.,"{'extract', 'buzz'}","{'extract', 'buzz'}",2
1134,The deer grazes peacefully at the edge of the clearing.,The deer grazes peacefully at the edge of the clearing.,{'graze'},{'graze'},1
1135,Sea lions bask on the rocky shore in the sun.,Sea lions bask on the rocky shore in the sun.,{'bask'},{'bask'},1
1136,The seer reads the swirling mist in the crystal ball.,The seer reads the swirling mist in the crystal ball.,"{'swirl', 'read'}","{'swirl', 'read'}",2
1137,The orator addresses the crowd in the town square.,The orator addresses the crowd in the town square.,{'address'},{'address'},1
